,date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
0,2020/1/30,00_17,0,,,,,,,,,,,0,,,,,,10117000
1,2020/1/30,18_64,1,,,,,,,,,,,1,,,,,,36139000
2,2020/1/30,65_84,0,,,,,,,,,,,0,,,,,,9316000
3,2020/1/30,85+,0,,,,,,,,,,,0,,,,,,1457000
4,2020/1/31,00_17,0,,,,,,,,,,,0,,,,,,10117000
5,2020/1/31,18_64,1,,,,,,,,,,,0,,,,,,36139000
6,2020/1/31,65_84,0,,,,,,,,,,,0,,,,,,9316000
7,2020/1/31,85+,0,,,,,,,,,,,0,,,,,,1457000
8,2020/2/1,00_17,0,,,,,,,,,,,0,,,,,,10117000
9,2020/2/1,18_64,1,,,,,,,,,,,0,,,,,,36139000
10,2020/2/1,65_84,0,,,,,,,,,,,0,,,,,,9316000
11,2020/2/1,85+,0,,,,,,,,,,,0,,,,,,1457000
12,2020/2/2,00_17,0,,,,,,,,,,,0,,,,,,10117000
13,2020/2/2,18_64,2,,,,,,,,,,,1,,,,,,36139000
14,2020/2/2,65_84,0,,,,,,,,,,,0,,,,,,9316000
15,2020/2/2,85+,0,,,,,,,,,,,0,,,,,,1457000
16,2020/2/3,00_17,1,,,,,,,,,,,1,,,,,,10117000
17,2020/2/3,18_64,17,,,,,,,,,,,15,,,,,,36139000
18,2020/2/3,65_84,2,,,,,,,,,,,2,,,,,,9316000
19,2020/2/3,85+,0,,,,,,,,,,,0,,,,,,1457000
20,2020/2/4,00_17,1,,,,,,,,,,,0,,,,,,10117000
21,2020/2/4,18_64,17,,,,,,,,,,,0,,,,,,36139000
22,2020/2/4,65_84,2,,,,,,,,,,,0,,,,,,9316000
23,2020/2/4,85+,0,,,,,,,,,,,0,,,,,,1457000
24,2020/2/5,00_17,1,,,,,,,,,,,0,,,,,,10117000
25,2020/2/5,18_64,18,,,,,,,,,,,1,,,,,,36139000
26,2020/2/5,65_84,2,,,,,,,,,,,0,,,,,,9316000
27,2020/2/5,85+,0,,,,,,,,,,,0,,,,,,1457000
28,2020/2/6,00_17,1,,,,,,,,,,,0,,,,,,10117000
29,2020/2/6,18_64,18,,,,,,,,,,,0,,,,,,36139000
30,2020/2/6,65_84,2,,,,,,,,,,,0,,,,,,9316000
31,2020/2/6,85+,0,,,,,,,,,,,0,,,,,,1457000
32,2020/2/7,00_17,1,,,,,,,,,,,0,,,,,,10117000
33,2020/2/7,18_64,18,,,,,,,,,,,0,,,,,,36139000
34,2020/2/7,65_84,2,,,,,,,,,,,0,,,,,,9316000
35,2020/2/7,85+,0,,,,,,,,,,,0,,,,,,1457000
36,2020/2/8,00_17,1,,,,,,,,,,,0,,,,,,10117000
37,2020/2/8,18_64,21,,,,,,,,,,,3,,,,,,36139000
38,2020/2/8,65_84,2,,,,,,,,,,,0,,,,,,9316000
39,2020/2/8,85+,0,,,,,,,,,,,0,,,,,,1457000
40,2020/2/9,00_17,1,,,,,,,,,,,0,,,,,,10117000
41,2020/2/9,18_64,22,,,,,,,,,,,1,,,,,,36139000
42,2020/2/9,65_84,2,,,,,,,,,,,0,,,,,,9316000
43,2020/2/9,85+,0,,,,,,,,,,,0,,,,,,1457000
44,2020/2/10,00_17,1,,,,,,,,,,,0,,,,,,10117000
45,2020/2/10,18_64,23,,,,,,,,,,,1,,,,,,36139000
46,2020/2/10,65_84,2,,,,,,,,,,,0,,,,,,9316000
47,2020/2/10,85+,0,,,,,,,,,,,0,,,,,,1457000
48,2020/2/11,00_17,1,,,,,,,,,,,0,,,,,,10117000
49,2020/2/11,18_64,26,,,,,,,,,,,3,,,,,,36139000
50,2020/2/11,65_84,2,,,,,,,,,,,0,,,,,,9316000
51,2020/2/11,85+,0,,,,,,,,,,,0,,,,,,1457000
52,2020/2/12,00_17,1,,,,,,,,,,,0,,,,,,10117000
53,2020/2/12,18_64,27,,,,,,,,,,,1,,,,,,36139000
54,2020/2/12,65_84,2,,,,,,,,,,,0,,,,,,9316000
55,2020/2/12,85+,0,,,,,,,,,,,0,,,,,,1457000
56,2020/2/13,00_17,1,,,,,,,,,,,0,,,,,,10117000
57,2020/2/13,18_64,27,,,,,,,,,,,0,,,,,,36139000
58,2020/2/13,65_84,3,,,,,,,,,,,1,,,,,,9316000
59,2020/2/13,85+,0,,,,,,,,,,,0,,,,,,1457000
60,2020/2/14,00_17,1,,,,,,,,,,,0,,,,,,10117000
