date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
12/8/2020,00_17,245465,2556,37,5,0,1,0,0,0,0,0,3448,1,21,225375,2397,,10117000
12/8/2020,18_64,1067064,63561,5485,11812,3634,6002,94,1,0,0,0,11238,30,479,927284,55049,,36139000
12/8/2020,65_84,168740,83239,28117,3578,900,1956,59,0,0,0,0,1461,177,648,73448,51158,,9316000
12/8/2020,85+,71562,42183,22185,765,727,17,0,0,0,0,0,733,168,380,24267,17989,,1457000
12/9/2020,00_17,249094,2582,38,5,0,1,0,0,0,0,0,3629,1,26,228719,2421,,10117000
12/9/2020,18_64,1079101,64044,5520,18600,6788,6080,78,3,2,0,0,12037,35,483,937978,55474,,36139000
12/9/2020,65_84,170143,83863,28289,5153,1575,2023,67,0,0,0,0,1403,172,624,74126,51580,,9316000
12/9/2020,85+,72212,42600,22353,1971,1206,17,0,0,0,0,0,650,168,417,24454,18218,,1457000
12/10/2020,00_17,252940,2604,38,5,0,1,0,0,0,0,0,3846,0,22,232268,2442,,10117000
12/10/2020,18_64,1091956,64511,5550,26514,7914,6155,75,4,1,0,0,12855,30,467,949448,55889,,36139000
12/10/2020,65_84,171595,84494,28484,7273,2120,2067,44,0,0,0,0,1452,195,631,74844,51986,,9316000
12/10/2020,85+,72859,43003,22508,3690,1719,17,0,0,0,0,0,647,155,403,24651,18447,,1457000
12/11/2020,00_17,257150,2617,38,5,0,1,0,0,0,0,0,4210,0,13,236165,2454,,10117000
12/11/2020,18_64,1105490,64980,5586,34841,8327,6206,51,4,0,0,0,13534,36,469,961546,56299,,36139000
12/11/2020,65_84,173300,85088,28664,9563,2290,2099,32,1,1,0,0,1705,180,594,75833,52372,,9316000
12/11/2020,85+,73545,43374,22692,5455,1765,17,0,0,0,0,0,686,184,371,24917,18616,,1457000
12/12/2020,00_17,260517,2644,38,8,1,1,0,0,0,0,0,3367,0,27,239264,2480,,10117000
12/12/2020,18_64,1116690,65436,5610,42302,7461,6226,20,7,3,0,0,11200,24,456,971490,56710,,36139000
12/12/2020,65_84,174526,85761,28831,11207,1644,2104,5,1,0,0,0,1226,167,673,76298,52846,,9316000
12/12/2020,85+,74002,43804,22878,6811,1356,17,0,0,0,0,0,457,186,430,24912,18840,,1457000
12/13/2020,00_17,264414,2668,38,8,0,1,0,0,0,0,0,3897,0,24,242859,2502,,10117000
12/13/2020,18_64,1129200,65934,5626,46693,4391,6247,21,7,0,0,0,12510,16,498,982608,57168,,36139000
