date,new_case,current_case_0017,current_case_1864,current_case_6584,current_case_85,population,age_group,phase
2020/3/19,19,106.0,2636.0,1469.0,651.0,10117000,1,phase1
2020/3/20,22,115.0,2919.0,1570.0,697.0,10117000,1,phase1
2020/3/21,22,132.0,3125.0,1658.0,735.0,10117000,1,phase1
2020/3/22,48,146.0,3380.0,1771.0,778.0,10117000,1,phase1
2020/3/23,39,179.0,3884.0,1970.0,924.0,10117000,1,phase1
2020/3/24,43,194.0,4344.0,2068.0,964.0,10117000,1,phase1
2020/3/25,39,211.0,4754.0,2144.0,1007.0,10117000,1,phase1
2020/3/26,44,230.0,5290.0,2422.0,1141.0,10117000,1,phase1
2020/3/27,36,262.0,5780.0,2597.0,1241.0,10117000,1,phase1
2020/3/28,29,270.0,6268.0,2715.0,1267.0,10117000,1,phase1
2020/3/29,51,267.0,6623.0,2841.0,1248.0,10117000,1,phase1
2020/3/30,55,294.0,7217.0,2849.0,1290.0,10117000,1,phase1
2020/3/31,67,331.0,8175.0,3116.0,1437.0,10117000,1,phase1
2020/4/1,59,372.0,9099.0,3143.0,1493.0,10117000,1,phase1
2020/4/2,59,410.0,10084.0,3138.0,1544.0,10117000,1,phase1
2020/4/3,53,443.0,11134.0,3201.0,1672.0,10117000,1,phase1
2020/4/4,40,479.0,11911.0,3028.0,1608.0,10117000,1,phase1
2020/4/5,64,487.0,12479.0,2814.0,1551.0,10117000,1,phase1
2020/4/6,69,518.0,13896.0,2826.0,1528.0,10117000,1,phase1
2020/4/7,51,548.0,15474.0,2765.0,1517.0,10117000,1,phase1
2020/4/8,60,582.0,16879.0,2679.0,1562.0,10117000,1,phase1
2020/4/9,58,613.0,18369.0,2632.0,1543.0,10117000,1,phase1
2020/4/10,69,648.0,19532.0,2534.0,1599.0,10117000,1,phase1
2020/4/11,43,696.0,20509.0,2437.0,1586.0,10117000,1,phase1
2020/4/12,43,720.0,21590.0,2321.0,1574.0,10117000,1,phase1
2020/4/13,67,748.0,22964.0,2202.0,1622.0,10117000,1,phase1
2020/4/14,67,794.0,24378.0,2130.0,1687.0,10117000,1,phase1
2020/4/15,48,838.0,26383.0,2260.0,1843.0,10117000,1,phase1
2020/4/16,80,866.0,28409.0,2342.0,1977.0,10117000,1,phase1
2020/4/17,77,924.0,30263.0,2383.0,2142.0,10117000,1,phase1
2020/4/18,52,982.0,32492.0,2398.0,2274.0,10117000,1,phase1
2020/4/19,47,1013.0,34306.0,2266.0,2334.0,10117000,1,phase1
2020/4/20,69,1042.0,35921.0,2333.0,2539.0,10117000,1,phase1
2020/4/21,91,1094.0,37823.0,2420.0,2723.0,10117000,1,phase1
2020/4/22,107,1165.0,40584.0,2517.0,2952.0,10117000,1,phase1
2020/4/23,104,1245.0,42981.0,2709.0,3257.0,10117000,1,phase1
2020/4/24,70,1324.0,45229.0,2898.0,3505.0,10117000,1,phase1
2020/4/25,69,1379.0,47066.0,2939.0,3632.0,10117000,1,phase1
2020/4/26,83,1435.0,48772.0,2874.0,3643.0,10117000,1,phase1
2020/4/27,106,1496.0,50772.0,2967.0,3916.0,10117000,1,phase1
2020/4/28,98,1582.0,52901.0,3060.0,4126.0,10117000,1,phase1
2020/4/29,98,1655.0,55472.0,3230.0,4417.0,10117000,1,phase1
2020/4/30,99,1735.0,57612.0,3466.0,4737.0,10117000,1,phase1
2020/5/1,56,1814.0,59714.0,3662.0,5093.0,10117000,1,phase1
2020/5/2,84,1852.0,61024.0,3718.0,5281.0,10117000,1,phase1
2020/5/3,91,1915.0,62276.0,3715.0,5385.0,10117000,1,phase1
2020/5/4,113,1983.0,63388.0,3829.0,5679.0,10117000,1,phase1
2020/5/5,131,2074.0,64872.0,3936.0,5962.0,10117000,1,phase1
2020/5/6,124,2184.0,66415.0,4058.0,6180.0,10117000,1,phase1
2020/5/7,126,2292.0,67845.0,4213.0,6475.0,10117000,1,phase1
2020/5/8,70,2399.0,69195.0,4335.0,6597.0,10117000,1,phase1
2020/5/9,89,2460.0,70052.0,4296.0,6585.0,10117000,1,phase1
2020/5/10,109,2533.0,71037.0,4302.0,6635.0,10117000,1,phase1
2020/5/11,115,2626.0,72441.0,4489.0,6952.0,10117000,1,phase1
2020/5/12,137,2722.0,73837.0,4606.0,7227.0,10117000,1,phase1
2020/5/13,102,2843.0,75158.0,4748.0,7530.0,10117000,1,phase1
2020/5/14,82,2932.0,76256.0,4782.0,7608.0,10117000,1,phase1
2020/5/15,113,3002.0,77362.0,4799.0,7666.0,10117000,1,phase1
2020/5/16,78,3103.0,78314.0,4749.0,7645.0,10117000,1,phase1
2020/5/17,108,3169.0,79095.0,4706.0,7647.0,10117000,1,phase1
2020/5/18,119,3259.0,80173.0,4752.0,7770.0,10117000,1,phase1
2020/5/19,116,3358.0,81460.0,4881.0,7918.0,10117000,1,phase1
2020/5/20,121,3456.0,82674.0,4922.0,8022.0,10117000,1,phase1
2020/5/21,98,3559.0,83793.0,4973.0,8145.0,10117000,1,phase1
2020/5/22,75,3643.0,84632.0,4973.0,8252.0,10117000,1,phase1
2020/5/23,86,3707.0,85304.0,4955.0,8246.0,10117000,1,phase1
2020/5/24,72,3780.0,85923.0,4923.0,8208.0,10117000,1,phase1
2020/5/25,70,3840.0,86605.0,4909.0,8271.0,10117000,1,phase1
2020/5/26,82,3896.0,87289.0,4899.0,8318.0,10117000,1,phase1
2020/5/27,103,3962.0,88025.0,4922.0,8404.0,10117000,1,phase1
2020/5/28,64,4052.0,88703.0,4942.0,8506.0,10117000,1,phase1
2020/5/29,56,4106.0,89341.0,4949.0,8583.0,10117000,1,phase1
2020/5/30,67,4155.0,89810.0,4916.0,8573.0,10117000,1,phase1
2020/5/31,71,4214.0,90197.0,4894.0,8615.0,10117000,1,phase1
2020/6/1,84,4274.0,90742.0,4892.0,8715.0,10117000,1,phase1
2020/6/2,91,4343.0,91321.0,4899.0,8774.0,10117000,1,phase1
2020/6/3,77,4415.0,91822.0,4923.0,8849.0,10117000,1,phase1
2020/6/4,71,4476.0,92302.0,4930.0,8908.0,10117000,1,phase1
2020/6/5,61,4533.0,92756.0,4947.0,8948.0,10117000,1,phase1
2020/6/6,51,4584.0,93126.0,4919.0,8919.0,10117000,1,phase1
2020/6/7,74,4627.0,93440.0,4892.0,8886.0,10117000,1,phase1
2020/6/8,83,4688.0,93935.0,4882.0,8909.0,10117000,1,phase1
2020/6/9,87,4759.0,94437.0,4887.0,8923.0,10117000,1,phase1
2020/6/10,70,4836.0,94950.0,4877.0,8950.0,10117000,1,phase1
2020/6/11,81,4899.0,95418.0,4848.0,8965.0,10117000,1,phase1
2020/6/12,74,4967.0,95938.0,4844.0,8955.0,10117000,1,phase1
2020/6/13,74,5029.0,96343.0,4844.0,8950.0,10117000,1,phase1
2020/6/14,83,5096.0,96753.0,4799.0,8912.0,10117000,1,phase1
2020/6/15,88,5168.0,97229.0,4766.0,8908.0,10117000,1,phase1
2020/6/16,79,5246.0,97709.0,4768.0,8917.0,10117000,1,phase1
2020/6/17,99,5311.0,98166.0,4745.0,8933.0,10117000,1,phase1
2020/6/18,78,5398.0,98649.0,4732.0,8934.0,10117000,1,phase1
2020/6/19,73,5464.0,99069.0,4750.0,8936.0,10117000,1,phase1
2020/6/20,50,5528.0,99420.0,4733.0,8933.0,10117000,1,phase1
2020/6/21,94,5571.0,99716.0,4703.0,8919.0,10117000,1,phase1
2020/6/22,74,5645.0,100126.0,4660.0,8922.0,10117000,1,phase1
2020/6/23,84,5706.0,100454.0,4636.0,8957.0,10117000,1,phase1
2020/6/24,70,5779.0,100824.0,4614.0,8953.0,10117000,1,phase1
2020/6/25,73,5837.0,101147.0,4585.0,8941.0,10117000,1,phase1
2020/6/26,59,5901.0,101460.0,4566.0,8929.0,10117000,1,phase1
2020/6/27,48,5949.0,101722.0,4532.0,8914.0,10117000,1,phase1
2020/6/28,64,5991.0,101940.0,4522.0,8892.0,10117000,1,phase1
2020/6/29,81,6044.0,102336.0,4525.0,8887.0,10117000,1,phase1
2020/6/30,68,6114.0,102644.0,4506.0,8875.0,10117000,1,phase1
2020/7/1,51,6162.0,102981.0,4499.0,8867.0,10117000,1,phase1
2020/7/2,71,6204.0,103302.0,4501.0,8870.0,10117000,1,phase1
2020/7/3,48,6269.0,103596.0,4499.0,8862.0,10117000,1,phase1
2020/7/4,65,6308.0,103818.0,4491.0,8845.0,10117000,1,phase1
2020/7/5,89,6368.0,104139.0,4488.0,8839.0,10117000,1,phase1
2020/7/6,71,6448.0,104471.0,4525.0,8846.0,10117000,1,phase1
2020/7/7,67,6513.0,104771.0,4532.0,8849.0,10117000,1,phase1
2020/7/8,85,6572.0,105181.0,4544.0,8859.0,10117000,1,phase1
2020/7/9,75,6647.0,105586.0,4562.0,8862.0,10117000,1,phase1
2020/7/10,64,6714.0,105879.0,4585.0,8862.0,10117000,1,phase1
2020/7/11,55,6770.0,106141.0,4583.0,8851.0,10117000,1,phase1
2020/7/12,90,6815.0,106356.0,4580.0,8848.0,10117000,1,phase1
2020/7/13,91,6891.0,106769.0,4592.0,8845.0,10117000,1,phase1
2020/7/14,94,6974.0,107137.0,4618.0,8857.0,10117000,1,phase1
2020/7/15,88,7055.0,107579.0,4655.0,8855.0,10117000,1,phase1
2020/7/16,75,7132.0,107955.0,4674.0,8865.0,10117000,1,phase1
2020/7/17,68,7198.0,108309.0,4683.0,8860.0,10117000,1,phase1
